Episode 1560, mean 100-episode return -673.12
Episode 4830, mean 100-episode return -215.53
Episode 1670, mean 100-episode return -773.86
Episode 3910, mean 100-episode return -176.88
Episode 1790, mean 100-episode return -900.04
Episode 4840, mean 100-episode return -200.67
Episode 3920, mean 100-episode return -178.39
Episode 4010, mean 100-episode return -226.61
Episode 1240, mean 100-episode return -984.27
Episode 4850, mean 100-episode return -190.53
Episode 3930, mean 100-episode return -179.17
Episode 1900, mean 100-episode return -535.42
Episode 4860, mean 100-episode return -180.01
Episode 4020, mean 100-episode return -235.73
Episode 3940, mean 100-episode return -180.93
Episode 4870, mean 100-episode return -175.52
Episode 1570, mean 100-episode return -666.73
Episode 3950, mean 100-episode return -181.19
Episode 1800, mean 100-episode return -899.78
Episode 4880, mean 100-episode return -175.31
Episode 1680, mean 100-episode return -772.3
Episode 3960, mean 100-episode return -182.24
Episode 4030, mean 100-episode return -255.87
Episode 4890, mean 100-episode return -176.16
Episode 1910, mean 100-episode return -549.2
Episode 3970, mean 100-episode return -183.72
Episode 1250, mean 100-episode return -975.5
Episode 4040, mean 100-episode return -261.51
Episode 3980, mean 100-episode return -181.67
Episode 4900, mean 100-episode return -174.26
Episode 1580, mean 100-episode return -657.32
Episode 1810, mean 100-episode return -868.98
Episode 3990, mean 100-episode return -181.11
Episode 4050, mean 100-episode return -266.13
Episode 4910, mean 100-episode return -174.58
Episode 1920, mean 100-episode return -540.08
Episode 4000, mean 100-episode return -184.27
Episode 1690, mean 100-episode return -796.59
Episode 4920, mean 100-episode return -177.64
Episode 4010, mean 100-episode return -183.18
Episode 4060, mean 100-episode return -279.02
Episode 1590, mean 100-episode return -649.05
Episode 4020, mean 100-episode return -184.95
Episode 1930, mean 100-episode return -533.48
Episode 4930, mean 100-episode return -183.79
Episode 1820, mean 100-episode return -824.75
Episode 4030, mean 100-episode return -187.53
Episode 1260, mean 100-episode return -975.5
Episode 4070, mean 100-episode return -289.36
Episode 4940, mean 100-episode return -189.17
Episode 4040, mean 100-episode return -192.08
Episode 1940, mean 100-episode return -547.51
Episode 1700, mean 100-episode return -822.79
Episode 1600, mean 100-episode return -649.83
Episode 4950, mean 100-episode return -195.4
Episode 1830, mean 100-episode return -774.7
Episode 4050, mean 100-episode return -198.6
Episode 4080, mean 100-episode return -305.79
Episode 4960, mean 100-episode return -198.83
Episode 4060, mean 100-episode return -202.68
Episode 4090, mean 100-episode return -303.98
Episode 1950, mean 100-episode return -543.04
Episode 4970, mean 100-episode return -200.68
Episode 4070, mean 100-episode return -202.37
Episode 4980, mean 100-episode return -199.56
Episode 4100, mean 100-episode return -301.76
Episode 4080, mean 100-episode return -204.0
Episode 1610, mean 100-episode return -664.45
Episode 1270, mean 100-episode return -974.42
Episode 4990, mean 100-episode return -200.99
Episode 1840, mean 100-episode return -751.88
Episode 1710, mean 100-episode return -847.77
Episode 4110, mean 100-episode return -296.14
Episode 4090, mean 100-episode return -203.83
Episode 1960, mean 100-episode return -542.8
Episode 5000, mean 100-episode return -204.41
Episode 4100, mean 100-episode return -204.24
Episode 4120, mean 100-episode return -291.26
Episode 4110, mean 100-episode return -202.09
Episode 5010, mean 100-episode return -202.87
Episode 4130, mean 100-episode return -274.21
Episode 1620, mean 100-episode return -663.44
Episode 4120, mean 100-episode return -201.77
Episode 5020, mean 100-episode return -200.91
Episode 1970, mean 100-episode return -541.89
Episode 4140, mean 100-episode return -277.57
Episode 5030, mean 100-episode return -195.0
Episode 1280, mean 100-episode return -977.0
Episode 4130, mean 100-episode return -203.27
Episode 1720, mean 100-episode return -868.19
Episode 5040, mean 100-episode return -190.71
Episode 1850, mean 100-episode return -755.87
Episode 4150, mean 100-episode return -277.53
Episode 4140, mean 100-episode return -200.65
Episode 5050, mean 100-episode return -186.56
Episode 1630, mean 100-episode return -660.25
Episode 1980, mean 100-episode return -529.59
Episode 4160, mean 100-episode return -266.62
Episode 4150, mean 100-episode return -198.25
Episode 5060, mean 100-episode return -184.94
Episode 4170, mean 100-episode return -251.18
Episode 5070, mean 100-episode return -184.02
Episode 4160, mean 100-episode return -195.99
Episode 1990, mean 100-episode return -524.37
Episode 1730, mean 100-episode return -861.45
Episode 4180, mean 100-episode return -236.69
Episode 5080, mean 100-episode return -183.85
Episode 4170, mean 100-episode return -197.52
Episode 1290, mean 100-episode return -980.27
Episode 4190, mean 100-episode return -233.99
Episode 1640, mean 100-episode return -651.7
Episode 5090, mean 100-episode return -180.73
Episode 4180, mean 100-episode return -200.25
Episode 1860, mean 100-episode return -755.87
Episode 4200, mean 100-episode return -230.3
Episode 5100, mean 100-episode return -176.66
Episode 4190, mean 100-episode return -203.78
Episode 2000, mean 100-episode return -519.73
Episode 4210, mean 100-episode return -227.37
Episode 5110, mean 100-episode return -176.82
Episode 1650, mean 100-episode return -635.22
Episode 4200, mean 100-episode return -203.64
Episode 1740, mean 100-episode return -872.26
Episode 5120, mean 100-episode return -176.85
Episode 4220, mean 100-episode return -224.27
