C:\dev\Miniconda3\python.exe C:/dev/master-thesis-code/optimize_cmdargs.py
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.44872917461108064', '--epsilon=0.07597094937369145', '--episodes=1000']
[2018-11-19 15:11:56,566] Making new env: MountainCarLimit1000-v0
[2018-11-19 15:13:24,986] Making new env: MountainCarLimit1000-v0
Episode 10, mean 100-episode return -1000.0
Episode 20, mean 100-episode return -1000.0
Episode 30, mean 100-episode return -1000.0
Episode 40, mean 100-episode return -1000.0
Episode 50, mean 100-episode return -1000.0
Episode 60, mean 100-episode return -1000.0
Episode 70, mean 100-episode return -1000.0
Episode 80, mean 100-episode return -996.8125
Episode 90, mean 100-episode return -996.3444444444444
Episode 100, mean 100-episode return -990.71
Episode 110, mean 100-episode return -981.21
Episode 120, mean 100-episode return -968.32
Episode 130, mean 100-episode return -964.12
Episode 140, mean 100-episode return -957.68
Episode 150, mean 100-episode return -944.39
Episode 160, mean 100-episode return -935.03
Episode 170, mean 100-episode return -919.25
Episode 180, mean 100-episode return -909.24
Episode 190, mean 100-episode return -904.5
Episode 200, mean 100-episode return -892.22
Episode 210, mean 100-episode return -879.5
Episode 220, mean 100-episode return -875.73
Episode 230, mean 100-episode return -849.39
Episode 240, mean 100-episode return -817.94
Episode 250, mean 100-episode return -806.18
Episode 260, mean 100-episode return -774.4
Episode 270, mean 100-episode return -751.9
Episode 280, mean 100-episode return -729.21
Episode 290, mean 100-episode return -694.95
Episode 300, mean 100-episode return -670.86
Episode 310, mean 100-episode return -664.95
Episode 320, mean 100-episode return -650.67
Episode 330, mean 100-episode return -645.93
Episode 340, mean 100-episode return -634.98
Episode 350, mean 100-episode return -617.71
Episode 360, mean 100-episode return -616.61
Episode 370, mean 100-episode return -603.75
Episode 380, mean 100-episode return -587.45
Episode 390, mean 100-episode return -581.31
Episode 400, mean 100-episode return -574.32
Episode 410, mean 100-episode return -546.51
Episode 420, mean 100-episode return -519.57
Episode 430, mean 100-episode return -510.99
Episode 440, mean 100-episode return -504.66
Episode 450, mean 100-episode return -489.43
Episode 460, mean 100-episode return -476.82
Episode 470, mean 100-episode return -477.64
Episode 480, mean 100-episode return -483.17
Episode 490, mean 100-episode return -468.25
Episode 500, mean 100-episode return -475.61
Episode 510, mean 100-episode return -489.92
Episode 520, mean 100-episode return -499.07
Episode 530, mean 100-episode return -490.02
Episode 540, mean 100-episode return -502.45
Episode 550, mean 100-episode return -503.91
Episode 560, mean 100-episode return -501.58
Episode 570, mean 100-episode return -489.28
Episode 580, mean 100-episode return -475.67
Episode 590, mean 100-episode return -475.74
Episode 600, mean 100-episode return -458.19
Episode 610, mean 100-episode return -434.14
Episode 620, mean 100-episode return -424.81
Episode 630, mean 100-episode return -419.51
Episode 640, mean 100-episode return -398.44
Episode 650, mean 100-episode return -400.87
Episode 660, mean 100-episode return -400.24
Episode 670, mean 100-episode return -400.81
Episode 680, mean 100-episode return -397.71
Episode 690, mean 100-episode return -392.9
Episode 700, mean 100-episode return -392.22
Episode 710, mean 100-episode return -393.9
Episode 720, mean 100-episode return -387.29
Episode 730, mean 100-episode return -381.01
Episode 740, mean 100-episode return -381.98
Episode 750, mean 100-episode return -370.43
Episode 760, mean 100-episode return -364.34
Episode 770, mean 100-episode return -363.81
Episode 780, mean 100-episode return -373.4
Episode 790, mean 100-episode return -385.84
Episode 800, mean 100-episode return -389.13
Episode 810, mean 100-episode return -396.89
Episode 820, mean 100-episode return -397.42
Episode 830, mean 100-episode return -414.96
Episode 840, mean 100-episode return -411.6
Episode 850, mean 100-episode return -410.16
Episode 860, mean 100-episode return -419.36
Episode 870, mean 100-episode return -419.35
Episode 880, mean 100-episode return -408.52
Episode 890, mean 100-episode return -395.2
Episode 900, mean 100-episode return -386.36
Episode 910, mean 100-episode return -383.97
Episode 920, mean 100-episode return -383.34
Episode 930, mean 100-episode return -360.27
Episode 940, mean 100-episode return -359.55
Episode 950, mean 100-episode return -380.74
Episode 960, mean 100-episode return -390.53
Episode 970, mean 100-episode return -404.65
Episode 980, mean 100-episode return -406.14
Episode 990, mean 100-episode return -410.2
Episode 1000, mean 100-episode return -410.17
Episode 1010, mean 100-episode return -401.93
Episode 1020, mean 100-episode return -400.79
Episode 1030, mean 100-episode return -405.82
Episode 1040, mean 100-episode return -408.07
Episode 1050, mean 100-episode return -390.71
Episode 1060, mean 100-episode return -370.24
Episode 1070, mean 100-episode return -352.18
Episode 1080, mean 100-episode return -351.09
Episode 1090, mean 100-episode return -348.54
Episode 1100, mean 100-episode return -350.1
Finished with: 0

***
b'The mean 100-episode return after evaluation -351.29\r\n'
*** Reward: -351.29
Found optimal params [0.64436704 4.72647447]
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.18089318963689016', '--epsilon=0.2588899263768444', '--episodes=1000']
[2018-11-19 15:13:46,482] Making new env: MountainCarLimit1000-v0
Episode 10, mean 100-episode return -1000.0
Episode 20, mean 100-episode return -1000.0
Episode 30, mean 100-episode return -989.0333333333333
Episode 40, mean 100-episode return -957.775
Episode 50, mean 100-episode return -936.54
Episode 60, mean 100-episode return -914.7
Episode 70, mean 100-episode return -904.0714285714286
Episode 80, mean 100-episode return -898.575
Episode 90, mean 100-episode return -868.8111111111111
Episode 100, mean 100-episode return -841.45
Episode 110, mean 100-episode return -796.35
Episode 120, mean 100-episode return -744.87
